paramSet,rep,method,threshNr,nrTurns,length,angleMu,angleSD,stepMu,stepSD
1,1,interval,1,99,978.61623110452,20.4696665362927,11.7071597120857,9.8850124353992,0.132870395837786
1,2,interval,1,99,978.021202289159,21.6257930360624,10.7771840060929,9.87900204332483,0.137711660680155
1,3,interval,1,99,978.587395291561,21.0072752006571,10.9482258649822,9.88472116456122,0.136670439301618
1,4,interval,1,99,979.630481557587,21.1405142819691,10.1699264594289,9.89525738947057,0.133298144007725
1,5,interval,1,99,978.40975398208,21.6315861550084,10.3244237041329,9.8829268078998,0.142270003027789
1,6,interval,1,99,979.512617553809,21.4952047656971,10.519062960335,9.89406684397787,0.142230851521688
1,7,interval,1,99,977.953303081518,21.9794231875433,10.944020215631,9.87831619274261,0.130649783680448
1,8,interval,1,99,979.017314033889,22.0335119552722,10.6302200843627,9.88906377812009,0.134137193363144
1,9,interval,1,99,982.134775570294,22.5792186196311,10.061415241742,9.92055328858883,0.119994153096418
1,10,interval,1,99,980.331255784896,22.9442263842588,10.9041491301045,9.90233591701915,0.131799013711604
1,1,interval,2,66,967.579136884885,24.0123435265384,16.1885195352774,14.6602899528013,0.218727959905295
1,2,interval,2,66,966.813340985297,26.2353029826394,16.2739034747225,14.6486869846257,0.224091875954838
1,3,interval,2,66,968.822489480782,24.0679686394009,16.2359197209542,14.6791286284967,0.270152527769801
1,4,interval,2,66,967.387678869795,22.4455289284522,13.7666255549327,14.6573890737848,0.177247700238479
1,5,interval,2,66,967.167439219458,26.1307189256691,15.1610044904459,14.6540521093857,0.170535993662383
1,6,interval,2,66,967.856035186566,21.7144244132979,14.3325765606759,14.6644853816146,0.23708702242923
1,7,interval,2,66,966.452961199097,25.0043354150562,17.0447478840448,14.6432266848348,0.229581729368034
1,8,interval,2,66,969.294600396746,25.4539568377195,16.3278889237327,14.6862818241931,0.159596339524762
1,9,interval,2,66,968.647722934264,23.809899714139,15.8510978156572,14.6764806505191,0.191856258930992
1,10,interval,2,66,964.791624557186,24.6217613132939,15.9911612192422,14.6180549175331,0.220443301214429
1,1,interval,3,49,960.751231939697,28.6941827892871,20.4949131947552,19.6071679987693,0.338465328564045
1,2,interval,3,49,956.859066571018,30.8491999556597,20.1888443176372,19.5277360524697,0.369163038413626
1,3,interval,3,49,959.856763650031,26.6073119837289,19.7957367738094,19.5889135438782,0.335063684701145
1,4,interval,3,49,958.55679088582,23.87033971968,16.3966165379395,19.5623834874657,0.353044643986705
1,5,interval,3,49,959.581493259854,30.5197245440135,21.0000703193156,19.5832957808134,0.27472821339615
1,6,interval,3,49,958.319282679597,21.773220278387,16.4801504349682,19.5575363812163,0.425963138317567
1,7,interval,3,49,956.84380357641,28.1820072637293,22.8514606462493,19.5274245627839,0.394917965701319
1,8,interval,3,49,957.852483962083,29.3812669118788,18.6755009631798,19.5480098767772,0.356302203524685
1,9,interval,3,49,959.000308346167,28.1663019146622,19.8031396205081,19.5714348642075,0.36165582087626
1,10,interval,3,49,958.191454134093,27.6523611474565,20.9654539094386,19.5549276353897,0.398650863188316
1,1,interval,4,39,947.445095815373,29.6664170784348,24.4022252169774,24.293463995266,0.694303733114644
1,2,interval,4,39,951.017174742082,36.0792022284971,24.3916090946121,24.3850557626175,0.58026649219748
1,3,interval,4,39,944.691071404225,28.8716928965699,20.0801534974104,24.2228479847237,0.711540507813634
1,4,interval,4,39,950.47913897865,25.2538567652943,19.5105198388984,24.3712599738115,0.572793284492175
1,5,interval,4,39,943.775280659218,34.6785452665723,21.2389525294648,24.1993661707492,0.766412180029902
1,6,interval,4,39,946.257786372976,20.4120455645891,18.7508414304226,24.2630201634096,0.629220842445085
1,7,interval,4,39,947.312161123454,32.4101510257151,24.5639226638856,24.2900554134219,0.689824119786912
1,8,interval,4,39,942.350991554443,29.3797731963121,22.879891768736,24.1628459372934,0.581236641769003
1,9,interval,4,39,947.93711934941,29.1105544549181,23.2867295220001,24.3060799833182,0.567412860190129
1,10,interval,4,39,939.120531978489,29.168250081058,18.4100967290279,24.0800136404741,0.805547745525383
1,1,interval,5,33,936.581640279613,33.8835271612677,23.0179001829769,28.3812618266549,1.03207463343579
1,2,interval,5,33,927.602680237012,37.3483991003405,27.5849782601514,28.1091721283943,1.24606298966158
1,3,interval,5,33,939.815790270686,30.7735347643834,22.2939272980691,28.479266371839,1.05570569869923
1,4,interval,5,33,943.525511653813,27.5449170220674,21.5861017060699,28.5916821713277,0.70974807549665
1,5,interval,5,33,933.087636497641,37.1305389548668,25.3043221120473,28.2753829241709,0.85729684303409
1,6,interval,5,33,948.564779066544,24.2401715298929,20.3447033816791,28.7443872444407,0.956593117720744
1,7,interval,5,33,927.480318328324,33.1738425692745,26.6928485899497,28.1054641917674,1.19271433212558
1,8,interval,5,33,937.800682363567,34.7049301602514,24.8480953067135,28.4182024958657,0.850995928853205
1,9,interval,5,33,939.227474131946,32.4247618538339,24.6892913869589,28.461438610059,0.951306288891643
1,10,interval,5,33,932.829053872493,31.5925135942226,23.0067241623503,28.2675470870452,1.07653099106168
1,1,local,1,91,988.982460378165,27.1895461611938,5.35647291489521,10.8679391250348,3.52237757882602
1,2,local,1,89,989.140459216312,27.7594960163953,2.96526704258449,11.1139377440035,2.82131889353954
