paramSet,method,threshNr,rnge95_nrTurns,rnge95_length,rnge95_angleMu,rnge95_angleSD,rnge95_stepMu,rnge95_stepSD
1,interval,1,0,4.18147248877574,2.4745598479661,1.64574447034369,0.0422370958462199,0.0222758499313706
1,interval,2,0,4.50297583955955,4.52087856934146,3.27812232911213,0.0682269066599925,0.110556188245039
1,interval,3,0,3.90742836328707,9.07597967727273,6.45484410830977,0.0797434359854492,0.151234924921416
1,interval,4,0,11.8966427635928,15.6671566639079,6.1538259348576,0.305042122143405,0.238134885335254
1,interval,5,0,21.0844607382201,13.1082275704476,7.24027487847232,0.638923052673334,0.53631491416493
1,local,1,9,0.891625373116085,1.16226601075513,2.4666876440308,1.02976597009334,0.977090952597484
1,local,2,8,1.94097528521718,0.979416947766822,2.91106585621678,0.94566419318908,1.25530267873929
1,local,3,0,581.215747857782,NaN,NaN,NaN,NaN
1,local,4,0,581.215747857782,NaN,NaN,NaN,NaN
1,local,5,0,581.215747857782,NaN,NaN,NaN,NaN
1,nonlocal,1,35,4.14319829470674,2.18999178542072,0.859348966904733,1.31285307176733,0.588675515522649
1,nonlocal,2,18,62.6540287076376,14.5176128557487,11.1383458050015,25.4134611401496,33.2493228457331
1,nonlocal,3,16,25.694172756465,18.056683386699,12.6791683336292,20.4884513738749,31.372046040478
1,nonlocal,4,13,148.66394976089,25.8289629123107,20.2418874628335,167.707075608551,43.249646458849
1,nonlocal,5,11,199.285909888733,47.1953748242216,23.221828399129,155.298675542246,61.7173422919643
1,1D,1,12,132.300892077207,26.5903805821603,14.8013853423819,68.0552963365945,138.549819352516
1,1D,2,12,130.879313932389,26.9158571510042,13.0531109241979,81.5753918416403,138.549819352516
1,1D,3,11,120.919673099555,36.6163336243857,20.7509938287654,95.6271421397012,160.981928123657
1,1D,4,6,135.547903531494,63.3612477926792,35.6791823056949,138.775669624423,161.804864503595
1,1D,5,6,144.335971134812,64.3028619879419,37.6255049767328,138.775669624423,161.804864503595
1,corridor,1,9,0.122556454150526,0.244402509991534,1.74197946199575,1.03187342352672,0.923637704046005
1,corridor,2,9,0.935552694194257,1.33562882671607,1.99983668954618,1.03021420806353,0.872683362347984
1,corridor,3,8,1.87701549962185,3.11144495867223,2.2141353238736,0.985059483430197,0.936025762154995
1,corridor,4,6,3.34277895385856,3.08263675182966,3.04472353077192,1.23940114190765,2.08509266518876
1,corridor,5,4,2.77655674383846,7.56908275468207,3.84021025798235,1.52703515031493,1.65275493846399
1,DP,1,9,3.63797880709171e-12,0.244402509991534,0.20013789699096,1.03187342352672,0.962897649538716
1,DP,2,9,0.369697305394197,0.57549118927594,2.32562289145778,1.03187342352672,0.814051984367101
1,DP,3,12,2.14877728400518,0.912245915475037,2.8846058792491,1.50386683117253,1.21360796377587
1,DP,4,10,4.11923433987204,1.91495611493006,3.91937106225292,1.47221300833814,1.75314359990261
1,DP,5,13,7.20355651785758,2.01003813008317,2.43807219612516,3.20927941333791,5.09844993143615
1,TPA,1,11,8.54009824144373,3.46617673527463,2.89717826746773,1.82250007466275,2.09388349043644
1,TPA,2,15,8.73113285336649,2.48348016984296,2.57272690355759,2.80526601008933,5.30617243924299
1,TPA,3,16,10.350945788612,2.61704548384494,3.13490674239197,3.83897052154263,7.61702190356234
1,TPA,4,15,12.30318298908,7.38610643697672,4.85455584297251,23.595359507631,31.2997122491377
1,TPA,5,17,22.4700460825838,19.5983115485619,5.46111560824568,57.5536488705351,52.3319307082261
1,CPT,1,8,440.97858050083,95.8504578564014,64.8173859818588,Inf,216.977991187119
1,CPT,2,15,477.98219004814,49.659902586467,39.4891866935473,Inf,190.767448880268
1,CPT,3,22,516.150171134297,68.3845135335605,31.3552675944575,Inf,151.859796503243
1,CPT,4,14,322.430122591522,22.0607959346432,26.1030310906186,22.9683357831705,89.3684690824965
1,CPT,5,16,276.278128587908,24.0475443507176,27.3821015911587,13.5047316521058,75.2107574094942
1,MRPA,1,9,0.135627679794197,0.57549118927594,2.3312963949224,1.03187342352672,0.814051984367101
1,MRPA,2,9,0.135627679792719,0.57549118927594,2.3312963949224,1.03187342352672,0.814051984367101
1,MRPA,3,9,0.135627679792719,0.57549118927594,2.3312963949224,1.03187342352672,0.814051984367101
1,MRPA,4,9,0.369697305394197,0.61141865154158,2.3312963949224,1.03187342352672,0.814051984367101
1,MRPA,5,9,0.369697305394197,0.57549118927594,2.3312963949224,1.03187342352672,0.814051984367101
1,VW,1,16,16.511540758052,4.20551181832744,5.53385363744571,3.83294903414954,5.15344556711056
1,VW,2,16,32.2875540704476,5.95559595081078,6.40787780885661,3.92679299297982,4.92137120005019
1,VW,3,15,31.6806570891032,6.02941288438128,7.11942584524181,3.84504103673498,4.91436104745059
1,VW,4,16,33.6908073637499,7.69389962697883,6.16905099286949,5.07286783608822,6.36030411231879
1,VW,5,10,28.6533360100924,8.45822461738561,5.81742577467081,4.40444063193698,5.31746767452905
2,interval,1,0,9.21386233563317,6.18146086962183,3.64367545773908,0.0930693165215466,0.0435048169531622
2,interval,2,0,12.1546370883691,12.4703719507017,3.67240921906975,0.184161168005591,0.318464961947878
2,interval,3,0,17.0040793050144,17.9568772670677,4.79519264664484,0.347022026632946,0.457179334300412
2,interval,4,0,22.1941946668859,21.3315799100997,8.61018988202834,0.569081914535534,0.755131224355981
2,interval,5,0,32.0348746050855,22.0121447033102,11.6631890616028,0.970753775911682,0.954324053936688
2,local,1,8,1.05762708094971,2.58128875185221,3.04417243972475,0.900145754785765,0.464845858363645
2,local,2,8,1.05762708094971,2.58128875185221,3.04417243972475,0.900145754785765,0.464845858363645
2,local,3,0,314.028190227012,NaN,NaN,NaN,NaN
