res_id,paramSet,rep,method,threshNr,nrTurns,length,angleMu,angleSD,stepMu,stepSD
74,1,4,local,3,0,0.6485102578226,NaN,NaN,Inf,NaN
75,1,5,local,3,0,0.397564217862607,NaN,NaN,Inf,NaN
76,1,6,local,3,0,0.762821505284441,NaN,NaN,Inf,NaN
77,1,7,local,3,0,0.533026505924796,NaN,NaN,Inf,NaN
78,1,8,local,3,0,0.321704788714598,NaN,NaN,Inf,NaN
79,1,9,local,3,0,0.388905094807766,NaN,NaN,Inf,NaN
80,1,10,local,3,0,0.338240019530759,NaN,NaN,Inf,NaN
81,1,1,local,4,0,0.210274697956951,NaN,NaN,Inf,NaN
82,1,2,local,4,0,0.181605757426659,NaN,NaN,Inf,NaN
83,1,3,local,4,0,0.592049971952019,NaN,NaN,Inf,NaN
84,1,4,local,4,0,0.6485102578226,NaN,NaN,Inf,NaN
85,1,5,local,4,0,0.397564217862607,NaN,NaN,Inf,NaN
86,1,6,local,4,0,0.762821505284441,NaN,NaN,Inf,NaN
87,1,7,local,4,0,0.533026505924796,NaN,NaN,Inf,NaN
88,1,8,local,4,0,0.321704788714598,NaN,NaN,Inf,NaN
89,1,9,local,4,0,0.388905094807766,NaN,NaN,Inf,NaN
90,1,10,local,4,0,0.338240019530759,NaN,NaN,Inf,NaN
91,1,1,local,5,0,0.210274697956951,NaN,NaN,Inf,NaN
92,1,2,local,5,0,0.181605757426659,NaN,NaN,Inf,NaN
93,1,3,local,5,0,0.592049971952019,NaN,NaN,Inf,NaN
94,1,4,local,5,0,0.6485102578226,NaN,NaN,Inf,NaN
95,1,5,local,5,0,0.397564217862607,NaN,NaN,Inf,NaN
96,1,6,local,5,0,0.762821505284441,NaN,NaN,Inf,NaN
97,1,7,local,5,0,0.533026505924796,NaN,NaN,Inf,NaN
98,1,8,local,5,0,0.321704788714598,NaN,NaN,Inf,NaN
99,1,9,local,5,0,0.388905094807766,NaN,NaN,Inf,NaN
100,1,10,local,5,0,0.338240019530759,NaN,NaN,Inf,NaN
101,1,1,nonlocal,1,1.8021978021978,0.98661500113369,0.519143525017541,10.8993326606774,0.601594512886397,1.22487994918723
102,1,2,nonlocal,1,1.61797752808989,0.983689241263528,0.55975072507168,11.0565253572288,0.683117528655228,1.16856835222389
103,1,3,nonlocal,1,1.76086956521739,0.985874597790427,0.522218780110193,11.6450235340968,0.608564566537301,1.218941290107
104,1,4,nonlocal,1,1.80208333333333,0.985272362332242,0.486750998890989,10.9582062503034,0.569521596723839,1.17151320828177
105,1,5,nonlocal,1,1.76530612244898,0.986239383518202,0.531703623360047,11.1810392573388,0.570080568507631,1.03081791566868
106,1,6,nonlocal,1,1.63440860215054,0.984628490589643,0.521078750904787,10.7856745671921,0.647781901703713,1.22704308750956
107,1,7,nonlocal,1,1.88421052631579,0.987779676446505,0.505104336252136,11.2973534556689,0.551832221478495,1.19850937786087
108,1,8,nonlocal,1,1.67010309278351,0.985442367842008,0.539907485222985,10.9018529218019,0.608297757927165,1.15098983320379
109,1,9,nonlocal,1,1.80851063829787,0.987832439558235,0.523561430421417,11.343801264105,0.581077905622491,1.11640715231508
110,1,10,nonlocal,1,1.85416666666667,0.986773991435812,0.499951579343927,11.5522289169088,0.554367410918996,1.15429229637833
111,1,1,nonlocal,2,0.274725274725275,0.929312422782975,1.22076550901384,26.3143746240762,3.7172496911319,9.18164291940107
112,1,2,nonlocal,2,0.337078651685393,0.925953523357882,1.42786228820472,20.8966462021992,3.08651174452627,10.0802940854343
113,1,3,nonlocal,2,0.304347826086957,0.922148831687114,1.09029627612718,26.2754500046765,3.29338868459684,10.7045312999313
114,1,4,nonlocal,2,0.197916666666667,0.918559825628541,1.25411837956083,17.6554858857619,4.83452539804495,15.2816305860702
115,1,5,nonlocal,2,0.346938775510204,0.910493600884009,1.18518223335847,25.4696670738599,2.6779223555412,4.1985229708258
116,1,6,nonlocal,2,0.193548387096774,0.925536187342929,0.943941859679759,22.2268696834656,5.14186770746072,9.13395943872943
117,1,7,nonlocal,2,0.378947368421053,0.936187773640474,1.19194382033675,23.2008284759285,2.60052159344576,5.33756257469477
118,1,8,nonlocal,2,0.247422680412371,0.876801966423738,1.12148927287672,15.1760288190747,3.65334152676557,9.50616829534041
119,1,9,nonlocal,2,0.308510638297872,0.93341666928117,1.11613205706428,21.0921676680503,3.21867816993507,10.0384026669943
120,1,10,nonlocal,2,0.322916666666667,0.939455995131375,1.02134932358009,22.7859073517022,3.03050321010121,6.36491133951387
121,1,1,nonlocal,3,0.274725274725275,0.929312422782975,1.22076550901384,26.3143746240762,3.7172496911319,9.18164291940107
122,1,2,nonlocal,3,0.337078651685393,0.925953523357882,1.42786228820472,20.8966462021992,3.08651174452627,10.0802940854343
123,1,3,nonlocal,3,0.304347826086957,0.922148831687114,1.09029627612718,26.2754500046765,3.29338868459684,10.7045312999313
124,1,4,nonlocal,3,0.229166666666667,0.912774550318585,0.94335978629363,27.5835420378485,4.14897522872084,14.6558716509851
125,1,5,nonlocal,3,0.346938775510204,0.910493600884009,1.18518223335847,25.4696670738599,2.6779223555412,4.1985229708258
126,1,6,nonlocal,3,0.21505376344086,0.92987334616665,0.825972841981418,18.4467223862161,4.64936673083325,12.0532297211326
127,1,7,nonlocal,3,0.378947368421053,0.936187773640474,1.19194382033675,23.2008284759285,2.60052159344576,5.33756257469477
